ts_iso,icao24,callsign,origin_country,lat,lon,geo_alt_m,baro_alt_m,spd_ms,hdg_deg,vr_ms,on_ground
2025-11-14T09:55:30.000Z,39bda0,AFR65LR,France,48.9761,2.2594,1424.94,1409.7,112.49,85.54,-6.5,false
2025-11-14T09:55:30.000Z,4caefa,ITY211,Ireland,45.1628,7.17,12184.38,11887.2,220.81,135.09,0.33,false
2025-11-14T09:55:30.000Z,406d27,RRR3122,United Kingdom,43.0035,4.7359,12778.74,12496.8,231.93,137.43,0,false
2025-11-14T09:55:30.000Z,4932a3,NJE199R,Portugal,42.0891,-2.7179,13228.32,13106.4,244.37,21.49,0.33,false
2025-11-14T09:55:30.000Z,39bdb3,AFR62LV,France,47.4545,8.5564,,,2.31,185.62,,true
2025-11-14T09:55:30.000Z,aa9d6e,UAL46,United States,50.9987,-0.3954,11940.54,11887.2,276.14,80.89,0,false
2025-11-14T09:55:30.000Z,39bdb4,AFR19JQ,France,48.3454,-0.0217,10637.52,10530.84,189.6,223.35,3.25,false
2025-11-14T09:55:30.000Z,39bdb5,AFR47CQ,France,48.904,2.2414,2087.88,2072.64,133.17,265.35,-4.23,false
2025-11-14T09:55:30.000Z,4ca2cb,EIN5HJ,Ireland,41.247,1.7146,2103.12,2004.06,107.4,246.87,-2.28,false
2025-11-14T09:55:30.000Z,39bdb7,AFR73JY,France,49.0166,2.373,762,777.24,95.06,84.72,-5.2,false
2025-11-14T09:55:30.000Z,39bdb0,AFR72JH,France,47.2793,0.6184,9265.92,9144,269.38,24.36,-0.33,false
2025-11-14T09:55:30.000Z,4b0f75,HBFWF,Switzerland,46.9686,7.9487,3756.66,3611.88,80.1,129,0.98,false
2025-11-14T09:55:30.000Z,44001a,AUA134W,Austria,47.456,8.5636,,,5.66,95.62,,true
2025-11-14T09:55:30.000Z,8960f4,UAE7ER,United Arab Emirates,47.2769,8.3416,11849.1,11582.4,236.09,287.37,0,false
2025-11-14T09:55:30.000Z,3dd474,DHASA,Germany,51.2556,6.4948,388.62,403.86,40.49,297.22,-0.33,false
2025-11-14T09:55:30.000Z,4b1699,SWR5GT,Switzerland,46.9418,8.7641,8122.92,7863.84,192.42,354.02,-5.2,false
2025-11-14T09:55:30.000Z,ae1252,CNV4704,United States,48.8565,3.211,12321.54,12192,233.98,333.49,-0.33,false
2025-11-14T09:55:30.000Z,406d7b,BAW7,United Kingdom,50.9929,3.3385,7871.46,7734.3,256.46,102.87,3.58,false
2025-11-14T09:55:30.000Z,3ffa0b,DMKDY,Germany,49.7066,8.9724,1310.64,1280.16,28.68,237.45,-0.33,false
2025-11-14T09:55:30.000Z,49514c,TAP668,Portugal,42.0948,-5.4205,10378.44,10363.2,268.02,28.93,0,false
2025-11-14T09:55:30.000Z,49514e,TAP432,Portugal,47.1035,-0.7743,10828.02,10728.96,260,53.45,-2.6,false
2025-11-14T09:55:30.000Z,a95c19,N702BD,United States,43.9288,6.14,13350.24,13106.4,205.45,139.57,-0.33,false
2025-11-14T09:55:30.000Z,407463,BAW46EZ,United Kingdom,46.7981,-3.387,11277.6,11269.98,185.39,189.91,-0.33,false
2025-11-14T09:55:30.000Z,3b7564,VANT36,France,41.7089,7.0439,5882.64,5638.8,141.54,123.29,0,false
2025-11-14T09:55:30.000Z,405a47,EFW5JM,United Kingdom,50.9841,-0.1871,2720.34,2735.58,130.64,283.43,0.33,false
2025-11-14T09:55:30.000Z,495152,TAP1240,Portugal,50.0451,9.0642,10896.6,10652.76,250.05,93.77,-0.33,false
2025-11-14T09:55:30.000Z,3e1207,DHYAH,Germany,50.7672,7.163,,,0.06,208.12,,true
2025-11-14T09:55:30.000Z,495149,TAP7AB,Portugal,45.0289,-3.2552,10393.68,10363.2,272.69,42.63,0,false
2025-11-14T09:55:30.000Z,4b169a,SWR36K,Switzerland,44.7491,2.4329,9654.54,9441.18,207.93,237.53,0,false
2025-11-14T09:55:30.000Z,a819fe,N621AK,United States,50.6141,8.9671,5638.8,5478.78,117.91,322.98,0,false
2025-11-14T09:55:30.000Z,4b168f,SWR4DK,Switzerland,47.5603,8.4291,1120.14,1066.8,87.35,136.91,-4.55,false
